Status,Source,Section,Qty,Value,Type,Designators,Role,Stage,Suggested Source
f,,Future layer,1,5K resistor (mode switch parallel R) + 3PDT mini toggle,-,(L5 - mode switch),Adds LP / Both / VCA mode switching per channel; reserve PCB pads,L5 planned,Mouser/Tayda
f,,Future layer,1,4.7nF C0G + 100K trimpot + extra op-amp half (use spare),-,(L7 - resonance feedback),Adds resonance / self-oscillation to filter,L7 planned,Mouser/Tayda
f,,Future layer,1,100K linear pot + extra resistors,-,(L4 - DAMP cross-coupling),Couples both channel drivers via shared decay pot,L4 planned,Mouser/Tayda
,,,,,,,,,
y,Switch,Resistor,2,4M7,1/4W 1% metal film,"R3, R9",R_alpha - Buchla 292 closed-state divider,Day-one,Mouser/Tayda
y,Switch,Resistor,2,4K7,1/4W 1% metal film,"R_STATUS_A, R_STATUS_B",Status LED current limit for RED LEDs (parallel branch off DRV_OUT - ~1.7mA at full drive; was 2K2 for green). ON-BOARD (rev 0.14+) - spans the driver output to the LED-cathode control hole (LED A b @ ctrlL 8 / LED B b @ ctrlL 33); LED anode ties to the d ground-plane. Was panel-side pigtail pre-0.14.,Day-one,Mouser/Tayda
y,,Resistor,2,1K,1/4W 1% metal film,"R_OUT_A, R_OUT_B",Per-channel output series resistor - matches Bergmann R15 and Thomas White R15 (canonical Buchla 292 output stage). ON-BOARD (rev 0.14+) - spans CHA_OUT/CHB_OUT (DA1.7/DA2.7) to the OUT-jack control hole (OUT A @ ctrlL 1 / OUT B @ ctrlL 23). Short-circuit protection + output impedance; mix bus taps before R_OUT. Was panel-side pigtail pre-0.14.,Day-one,Mouser/Tayda
y,Switch,Resistor,4,220R,1/4W 1% metal film,alt for R6/R12 + spares,Alternative vactrol LED drive current limit - use instead of 470R for higher-Vf DIY vactrols (green/blue/white LEDs) to keep current in useful range,Day-one,Mouser/Tayda
y,Switch,Capacitor,2,220pF,Ceramic C0G/NP0,"C11, C12",C_2 - Buchla 292 first filter pole (fixed),Day-one,Mouser
y,Switch,Capacitor,4,470pF/2.2nF spares,Film or C0G,-,Optional cap swaps for C13/C14 (brighter/darker),Day-one,Mouser
y,Switch,Capacitor,2,1nF,Film or C0G,"C13, C14",C_1 - Buchla 292 second filter pole (SOCKETED),Day-one,Mouser
n,,Socket,2,Vactrol footprint (5-pin SIP or DIP-8 wide),Machined-pin if available,VC1/VC2 sockets,Accepts molded VTL5C3/2 / 2x single / DIY shroud,Day-one,Mouser
n,,Socket,2,2-pin DIP socket (or 2x SIP single-pin),Machined-pin,for C13/C14,Filter cap C_1 swap socket,Day-one,Mouser/Tayda
n,Switch,Socket,4,8-pin DIP socket,Standard,for DA1-DA4,Op-amp sockets (recommended),Day-one,Mouser/Tayda
,,,,,,,,,
n,Amazon,Vactrol,4,VTL5C3/2 OR equivalents,Dual-LDR molded vactrol,"VC1, VC2 + 2 spares",Canonical Buchla part - 1 per channel + 2 spares (also accepts 2x single VTL5C3/9 or 2x LCR0202/0203),Day-one,Pusherman / Modular Addict / Banzai (genuine); Tayda/LCSC (LCR0202/0203)
n,Amazon,LDR pack,1,GL5506/16/28/37/39/49 variety pack,"5mm CdS photoresistors, 120pc 6-value pack",RL1-RL120 (variety),Alternative DIY vactrol path - supports swap experimentation + multiple character settings,Day-one,Amazon (e.g. AUKENIEN); AliExpress; LCSC
,,,,,,,,,
y,,Resistor,4,100K,1/4W 1% metal film,"R1, R7, R13, R19",Input + CV pulldowns A/B,Day-one,Mouser/Tayda
y,,Resistor,2,100K,1/4W 1% metal film,"R23, R26",Mix bus summing inputs (passive sum) OR R23/R26 if buffered,Day-one,Mouser/Tayda
y,,Resistor,2,100K,1/4W 1% metal film,"R24, R27",Mix bus feedback (buffered mix only),Day-one,Mouser/Tayda
y,,Resistor,1,100K,1/4W 1% metal film,R28,Mix bus +in to GND (buffered mix only),Day-one,Mouser/Tayda
y,,Resistor,4,10K,1/4W 1% metal film,"R4, R10, R5, R11",Series before/after vactrol LDRs (audio path),Day-one,Mouser/Tayda
y,,Resistor,4,10K,1/4W 1% metal film,"R14, R20, R36, R37",Driver op-amp feedback + non-inv reference,Day-one,Mouser/Tayda
y,,Resistor,2,10K,1/4W 1% metal film,"R15, R31",Strike pulse-shaper pulldown (post-differentiator 10ms time constant) - channel A/B,Day-one,Mouser/Tayda
y,,Resistor,2,4K7,1/4W 1% metal film,"R32, R33",Manual offset summing into driver,Day-one,Mouser/Tayda
y,,Resistor,2,4K7,1/4W 1% metal film,"R29, R30",Manual offset top resistor (limits VCC drive),Day-one,Mouser/Tayda
y,,Resistor,2,4K7,1/4W 1% metal film,"R38, R39",CV summing into driver,Day-one,Mouser/Tayda
y,,Resistor,2,10K,1/4W 1% metal film,"R34, R35",Strike summing into driver,Day-one,Mouser/Tayda
y,,Resistor,2,1K,1/4W 1% metal film,"R16, R22",CV input series protection,Day-one,Mouser/Tayda
